modularity_class,Degree_mean,Degree_var,betweenesscentrality_mean,betweenesscentrality_var,clusteringcoefficient_mean,clusteringcoefficient_var,communitysize
1117,0,,0,,0,,2886
1118,0,,0,,0,,2887
1119,0,,0,,0,,2888
1120,0,,0,,0,,2889
1121,0,,0,,0,,2890
1122,0,,0,,0,,2891
1123,0,,0,,0,,2892
1124,0,,0,,0,,2893
1125,0,,0,,0,,2894
1126,0,,0,,0,,2895
1127,0,,0,,0,,2896
1128,0,,0,,0,,2897
1129,0,,0,,0,,2898
1130,0,,0,,0,,2899
1131,0,,0,,0,,2900
1132,0,,0,,0,,2901
1133,0,,0,,0,,2902
1134,0,,0,,0,,2903
1135,0,,0,,0,,2904
1136,0,,0,,0,,2905
1137,0,,0,,0,,2906
1138,0,,0,,0,,2907
1139,0,,0,,0,,2908
1140,0,,0,,0,,2909
1141,0,,0,,0,,2910
1142,0,,0,,0,,2911
1143,0,,0,,0,,2912
1144,0,,0,,0,,2913
1145,0,,0,,0,,2914
1146,0,,0,,0,,2915
1147,0,,0,,0,,2916
1148,0,,0,,0,,2917
1149,0,,0,,0,,2918
1150,0,,0,,0,,2919
1151,0,,0,,0,,2920
1152,0,,0,,0,,2921
1153,0,,0,,0,,2922
1154,0,,0,,0,,2923
1155,0,,0,,0,,2924
1156,0,,0,,0,,2925
1157,0,,0,,0,,2926
1158,0,,0,,0,,2927
1159,0,,0,,0,,2928
1160,0,,0,,0,,2929
1161,0,,0,,0,,2930
1162,0,,0,,0,,2931
1163,0,,0,,0,,2932
1164,0,,0,,0,,2933
1165,0,,0,,0,,2934
1166,0,,0,,0,,2935
1167,0,,0,,0,,2936
1168,0,,0,,0,,2937
1169,0,,0,,0,,2938
1170,0,,0,,0,,2939
1171,0,,0,,0,,2940
1172,0,,0,,0,,2941
1173,0,,0,,0,,2942
1174,0,,0,,0,,2943
1175,0,,0,,0,,2944
1176,0,,0,,0,,2945
1177,0,,0,,0,,2946
1178,0,,0,,0,,2947
1179,0,,0,,0,,2948
1180,0,,0,,0,,2949
1181,0,,0,,0,,2950
1182,0,,0,,0,,2951
1183,0,,0,,0,,2952
1184,0,,0,,0,,2953
1185,0,,0,,0,,2954
1186,0,,0,,0,,2955
1187,0,,0,,0,,2956
1188,0,,0,,0,,2957
1189,0,,0,,0,,2958
1190,0,,0,,0,,2959
1191,0,,0,,0,,2960
1192,0,,0,,0,,2961
1193,0,,0,,0,,2962
1194,0,,0,,0,,2963
1195,0,,0,,0,,2964
1196,0,,0,,0,,2965
1197,0,,0,,0,,2966
1198,0,,0,,0,,2967
1199,0,,0,,0,,2968
1200,0,,0,,0,,2969
1201,0,,0,,0,,2970
1202,0,,0,,0,,2971
1203,0,,0,,0,,2972
1204,0,,0,,0,,2973
1205,0,,0,,0,,2974
1206,0,,0,,0,,2975
1207,0,,0,,0,,2976
1208,0,,0,,0,,2977
1209,0,,0,,0,,2978
1210,0,,0,,0,,2979
1211,0,,0,,0,,2980
1212,0,,0,,0,,2981
1213,0,,0,,0,,2982
1214,0,,0,,0,,2983
1215,0,,0,,0,,2984
1216,0,,0,,0,,2985
1217,0,,0,,0,,2986
1218,0,,0,,0,,2987
1219,0,,0,,0,,2988
1220,0,,0,,0,,2989
1221,0,,0,,0,,2990
1222,0,,0,,0,,2991
1223,0,,0,,0,,2992
1224,0,,0,,0,,2993
1225,0,,0,,0,,2994
1226,0,,0,,0,,2995
1227,0,,0,,0,,2996
1228,0,,0,,0,,2997
1229,0,,0,,0,,2998
1230,0,,0,,0,,2999
1231,0,,0,,0,,3000
1232,0,,0,,0,,3001
1233,0,,0,,0,,3002
1234,0,,0,,0,,3003
1235,0,,0,,0,,3004
